# DURATION     TID     FUNCTION
            [  9146] | _GLOBAL__sub_I_partition_01() {
            [  9146] |   __static_initialization_and_destruction_0() {
  85.462 us [  9146] |     std::ios_base::Init::Init();
   0.263 us [  9146] |     __cxa_atexit();
  89.676 us [  9146] |   } /* __static_initialization_and_destruction_0 */
  90.286 us [  9146] | } /* _GLOBAL__sub_I_partition_01 */
            [  9146] | main() {
            [  9146] |   std::allocator::allocator() {
   0.077 us [  9146] |     __gnu_cxx::new_allocator::new_allocator();
   0.470 us [  9146] |   } /* std::allocator::allocator */
            [  9146] |   std::vector::vector() {
            [  9146] |     std::_Vector_base::_Vector_base() {
            [  9146] |       std::_Vector_base::_Vector_impl::_Vector_impl() {
            [  9146] |         std::allocator::allocator() {
   0.074 us [  9146] |           __gnu_cxx::new_allocator::new_allocator();
   0.477 us [  9146] |         } /* std::allocator::allocator */
   0.712 us [  9146] |       } /* std::_Vector_base::_Vector_impl::_Vector_impl */
   0.945 us [  9146] |     } /* std::_Vector_base::_Vector_base */
            [  9146] |     std::initializer_list::end() {
   0.068 us [  9146] |       std::initializer_list::begin();
   0.071 us [  9146] |       std::initializer_list::size();
   0.560 us [  9146] |     } /* std::initializer_list::end */
   0.071 us [  9146] |     std::initializer_list::begin();
            [  9146] |     std::vector::_M_range_initialize() {
            [  9146] |       std::distance() {
   0.075 us [  9146] |         std::__iterator_category();
   0.070 us [  9146] |         std::__distance();
   0.590 us [  9146] |       } /* std::distance */
            [  9146] |       std::_Vector_base::_M_allocate() {
            [  9146] |         std::allocator_traits::allocate() {
            [  9146] |           __gnu_cxx::new_allocator::allocate() {
   0.074 us [  9146] |             __gnu_cxx::new_allocator::max_size();
   1.159 us [  9146] |             operator new();
   1.864 us [  9146] |           } /* __gnu_cxx::new_allocator::allocate */
   2.048 us [  9146] |         } /* std::allocator_traits::allocate */
   2.253 us [  9146] |       } /* std::_Vector_base::_M_allocate */
   0.074 us [  9146] |       std::_Vector_base::_M_get_Tp_allocator();
            [  9146] |       std::__uninitialized_copy_a() {
            [  9146] |         std::uninitialized_copy() {
            [  9146] |           std::__uninitialized_copy::__uninit_copy() {
            [  9146] |             std::copy() {
   0.077 us [  9146] |               std::__miter_base();
   0.072 us [  9146] |               std::__miter_base();
            [  9146] |               std::__copy_move_a2() {
   0.086 us [  9146] |                 std::__niter_base();
   0.077 us [  9146] |                 std::__niter_base();
   0.072 us [  9146] |                 std::__niter_base();
            [  9146] |                 std::__copy_move_a() {
            [  9146] |                   std::__copy_move::__copy_m() {
   0.741 us [  9146] |                     memmove();
   1.104 us [  9146] |                   } /* std::__copy_move::__copy_m */
   1.302 us [  9146] |                 } /* std::__copy_move_a */
   2.207 us [  9146] |               } /* std::__copy_move_a2 */
   2.949 us [  9146] |             } /* std::copy */
   3.127 us [  9146] |           } /* std::__uninitialized_copy::__uninit_copy */
   3.301 us [  9146] |         } /* std::uninitialized_copy */
   3.507 us [  9146] |       } /* std::__uninitialized_copy_a */
   7.015 us [  9146] |     } /* std::vector::_M_range_initialize */
   9.133 us [  9146] |   } /* std::vector::vector */
            [  9146] |   std::allocator::~allocator() {
   0.074 us [  9146] |     __gnu_cxx::new_allocator::~new_allocator();
   0.329 us [  9146] |   } /* std::allocator::~allocator */
            [  9146] |   std::vector::end() {
   0.072 us [  9146] |     __gnu_cxx::__normal_iterator::__normal_iterator();
   0.327 us [  9146] |   } /* std::vector::end */
            [  9146] |   std::vector::begin() {
   0.072 us [  9146] |     __gnu_cxx::__normal_iterator::__normal_iterator();
   0.307 us [  9146] |   } /* std::vector::begin */
            [  9146] |   partition_02() {
            [  9146] |     std::allocator::allocator() {
   0.071 us [  9146] |       __gnu_cxx::new_allocator::new_allocator();
   0.323 us [  9146] |     } /* std::allocator::allocator */
            [  9146] |     std::vector::vector() {
            [  9146] |       std::_Vector_base::_Vector_base() {
            [  9146] |         std::_Vector_base::_Vector_impl::_Vector_impl() {
            [  9146] |           std::allocator::allocator() {
   0.070 us [  9146] |             __gnu_cxx::new_allocator::new_allocator();
   0.403 us [  9146] |           } /* std::allocator::allocator */
   0.579 us [  9146] |         } /* std::_Vector_base::_Vector_impl::_Vector_impl */
   0.762 us [  9146] |       } /* std::_Vector_base::_Vector_base */
            [  9146] |       std::initializer_list::end() {
   0.070 us [  9146] |         std::initializer_list::begin();
   0.067 us [  9146] |         std::initializer_list::size();
   0.491 us [  9146] |       } /* std::initializer_list::end */
   0.070 us [  9146] |       std::initializer_list::begin();
            [  9146] |       std::vector::_M_range_initialize() {
            [  9146] |         std::distance() {
